scenario,E_CC,revenue_R,uplift_raw,uplift_floored,uplift_pct_floored
low,5921504,1000000,5.341504,5.341504,534.15
low,5921504,2000000,2.380752,2.380752,238.08
low,5921504,3000000,1.393835,1.393835,139.38
low,5921504,4000000,0.900376,0.900376,90.04
low,5921504,5000000,0.604301,0.604301,60.43
low,5921504,6000000,0.406917,0.406917,40.69
low,5921504,7000000,0.265929,0.265929,26.59
low,5921504,8000000,0.160188,0.160188,16.02
low,5921504,9000000,0.077945,0.077945,7.79
low,5921504,10000000,0.01215,0.01215,1.22
low,5921504,11000000,-0.041681,0.0,0.0
low,5921504,12000000,-0.086541,0.0,0.0
low,5921504,13000000,-0.1245,0.0,0.0
low,5921504,14000000,-0.157035,0.0,0.0
low,5921504,15000000,-0.185233,0.0,0.0
low,5921504,16000000,-0.209906,0.0,0.0
low,5921504,17000000,-0.231676,0.0,0.0
low,5921504,18000000,-0.251028,0.0,0.0
low,5921504,19000000,-0.268342,0.0,0.0
low,5921504,20000000,-0.283925,0.0,0.0
low,5921504,21000000,-0.298024,0.0,0.0
low,5921504,22000000,-0.310841,0.0,0.0
low,5921504,23000000,-0.322543,0.0,0.0
low,5921504,24000000,-0.333271,0.0,0.0
low,5921504,25000000,-0.34314,0.0,0.0
medium,9164082,1000000,8.584082,8.584082,858.41
medium,9164082,2000000,4.002041,4.002041,400.2
medium,9164082,3000000,2.474694,2.474694,247.47
medium,9164082,4000000,1.711021,1.711021,171.1
medium,9164082,5000000,1.252816,1.252816,125.28
medium,9164082,6000000,0.947347,0.947347,94.73
medium,9164082,7000000,0.729155,0.729155,72.92
medium,9164082,8000000,0.56551,0.56551,56.55
medium,9164082,9000000,0.438231,0.438231,43.82
medium,9164082,10000000,0.336408,0.336408,33.64
medium,9164082,11000000,0.253098,0.253098,25.31
medium,9164082,12000000,0.183673,0.183673,18.37
medium,9164082,13000000,0.124929,0.124929,12.49
medium,9164082,14000000,0.074577,0.074577,7.46
medium,9164082,15000000,0.030939,0.030939,3.09
medium,9164082,16000000,-0.007245,0.0,0.0
medium,9164082,17000000,-0.040936,0.0,0.0
medium,9164082,18000000,-0.070884,0.0,0.0
medium,9164082,19000000,-0.09768,0.0,0.0
medium,9164082,20000000,-0.121796,0.0,0.0
medium,9164082,21000000,-0.143615,0.0,0.0
medium,9164082,22000000,-0.163451,0.0,0.0
medium,9164082,23000000,-0.181562,0.0,0.0
medium,9164082,24000000,-0.198163,0.0,0.0
medium,9164082,25000000,-0.213437,0.0,0.0
high,12218777,1000000,11.638777,11.638777,1163.88
high,12218777,2000000,5.529388,5.529388,552.94
high,12218777,3000000,3.492926,3.492926,349.29
high,12218777,4000000,2.474694,2.474694,247.47
high,12218777,5000000,1.863755,1.863755,186.38
high,12218777,6000000,1.456463,1.456463,145.65
high,12218777,7000000,1.16554,1.16554,116.55
high,12218777,8000000,0.947347,0.947347,94.73
high,12218777,9000000,0.777642,0.777642,77.76
high,12218777,10000000,0.641878,0.641878,64.19
high,12218777,11000000,0.530798,0.530798,53.08
high,12218777,12000000,0.438231,0.438231,43.82
high,12218777,13000000,0.359906,0.359906,35.99
high,12218777,14000000,0.29277,0.29277,29.28
high,12218777,15000000,0.234585,0.234585,23.46
high,12218777,16000000,0.183674,0.183674,18.37
high,12218777,17000000,0.138752,0.138752,13.88
high,12218777,18000000,0.098821,0.098821,9.88
high,12218777,19000000,0.063094,0.063094,6.31
high,12218777,20000000,0.030939,0.030939,3.09
high,12218777,21000000,0.001847,0.001847,0.18
high,12218777,22000000,-0.024601,0.0,0.0
high,12218777,23000000,-0.048749,0.0,0.0
high,12218777,24000000,-0.070884,0.0,0.0
high,12218777,25000000,-0.091249,0.0,0.0
